24
1
-1 0 0 
0 -1 0 
0 0 1 
2
-1 0 0 
0 0 -1 
0 -1 0 
3
-1 0 0 
0 0 1 
0 1 0 
4
-1 0 0 
0 1 0 
0 0 -1 
5
0 -1 0 
-1 0 0 
0 0 -1 
6
0 -1 0 
0 0 -1 
1 0 0 
7
0 -1 0 
0 0 1 
-1 0 0 
8
0 -1 0 
1 0 0 
0 0 1 
9
0 0 -1 
-1 0 0 
0 1 0 
10
0 0 -1 
0 -1 0 
-1 0 0 
11
0 0 -1 
0 1 0 
1 0 0 
12
0 0 -1 
1 0 0 
0 -1 0 
13
0 0 1 
-1 0 0 
0 -1 0 
14
0 0 1 
0 -1 0 
1 0 0 
15
0 0 1 
0 1 0 
-1 0 0 
16
0 0 1 
1 0 0 
0 1 0 
17
0 1 0 
-1 0 0 
0 0 1 
18
0 1 0 
0 0 -1 
-1 0 0 
19
0 1 0 
0 0 1 
1 0 0 
20
0 1 0 
1 0 0 
0 0 -1 
21
1 0 0 
0 -1 0 
0 0 -1 
22
1 0 0 
0 0 -1 
0 1 0 
23
1 0 0 
0 0 1 
0 -1 0 
24
1 0 0 
0 1 0 
0 0 1 
